"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2020-06-13,07:30,"Le Reposoir, Haute-Savoie, Auvergne-Rhône-Alpes",France,45.9956,6.4709,1800,"begging call, call, juvenile, nasal call","

bird-seen:yes

playback-used:no",,569368,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2020-06-13,07:30,"Le Reposoir, Haute-Savoie, Auvergne-Rhône-Alpes",France,45.9956,6.4709,1800,song,"

bird-seen:yes

playback-used:no",,569363,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2020-06-13,07:30,"Le Reposoir, Haute-Savoie, Auvergne-Rhône-Alpes",France,45.9956,6.4709,1800,song,"

bird-seen:yes

playback-used:no",,569362,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2020-06-06,17:00,"Le Reposoir, Haute-Savoie, Auvergne-Rhône-Alpes",France,46.0009,6.4834,1800,"alarm call, call","

bird-seen:yes

playback-used:no",,568982,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2020-06-06,17:00,"Le Reposoir, Haute-Savoie, Auvergne-Rhône-Alpes",France,46.0009,6.4834,1800,"alarm call, call","

bird-seen:yes

playback-used:no",,568979,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2020-06-06,17:00,"Le Reposoir, Haute-Savoie, Auvergne-Rhône-Alpes",France,46.0009,6.4834,1800,"alarm call, call","

bird-seen:yes

playback-used:no",,568977,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Enric Fontcuberta ",2019-07-02,12:30,"Cerdanya (near  Meranges), Girona, Cataluña",Spain,42.4541,1.7712,1800,"alarm call, female","

bird-seen:yes

playback-used:no",,558041,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Vincent Palomares",2019-06-02,08:30,"Lus-la-Croix-Haute, Drôme, Auvergne-Rhône-Alpes",France,44.71,5.7281,1600,"male, song","

bird-seen:yes

playback-used:no",,546960,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2022-05-16,09:00,"Arrondissement de Carpentras (near  Bédoin), Vaucluse, Provence-Alpes-Côte d'Azur",France,44.1741,5.2832,1800,song,"

bird-seen:yes

playback-used:no",,730219,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2022-05-16,09:00,"Arrondissement de Carpentras (near  Bédoin), Vaucluse, Provence-Alpes-Côte d'Azur",France,44.1741,5.2832,1800,song,"

bird-seen:yes

playback-used:no",,730218,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2022-05-16,09:00,"Arrondissement de Carpentras (near  Bédoin), Vaucluse, Provence-Alpes-Côte d'Azur",France,44.1741,5.2832,1800,song,"

bird-seen:yes

playback-used:no",,730217,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Xavier Riera",2022-05-14,11:30,"Berguedà (near  La Molina), Girona, Catalunya",Spain,42.2989,1.8931,1900,"adult, male, song","

bird-seen:yes

playback-used:no",,724183,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Xavier Riera",2022-05-14,11:30,"Berguedà (near  La Molina), Girona, Catalunya",Spain,42.2989,1.8931,1900,"adult, male, song","

bird-seen:yes

playback-used:no",,724182,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Ding Li Yong",2021-09-22,09:00,"Vardzia, Samtskhe-Javakheti",Georgia,41.3812,43.2842,1300,"adult, male, song","

bird-seen:yes

playback-used:no",,678214,//creativecommons.org/licenses/by-nc-nd/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Ding Li Yong",2021-09-22,09:30,"Vardzia, Samtskhe-Javakheti",Georgia,41.3812,43.2842,1300,"adult, song","

bird-seen:yes

playback-used:no","Phoenicurus ochruros,Sitta neumayer",677554,//creativecommons.org/licenses/by-nc-nd/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Santiago Caballero Carrera",2021-06-18,10:30,"Grazalema (Las Palomas), Cádiz, Andalucía",Spain,36.788,-5.376,1200,"adult, call, female","

bird-seen:yes

playback-used:no",,660711,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Jessica Peruzzo",2021-05-30,10:00,"Posina, Provincia di Vicenza, Veneto",Italy,45.7856,11.2922,800,"adult, male, song","

bird-seen:yes

playback-used:no","Anthus trivialis",653284,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Jessica Peruzzo",2021-05-30,10:00,"Posina, Provincia di Vicenza, Veneto",Italy,45.7856,11.2922,800,"adult, male, song","

bird-seen:yes

playback-used:no","Saxicola rubicola",653283,//creativecommons.org/licenses/by-nc-sa/4.0/
